LLM,Question_ID,Scenario_1_Similarity,Rank
deepseek-r1-0528,1,0.71163785,3
deepseek-r1-0528,2,0.9114684,1
deepseek-r1-0528,3,0.7745817,1
deepseek-r1-0528,4,0.5964321,2
deepseek-r1-0528,5,0.7539924,1
deepseek-r1-0528,6,0.545825,1
deepseek-r1-0528,7,0.8174145,1
deepseek-r1-0528,8,0.5144416,6
deepseek-r1-0528,9,0.7121885,1
deepseek-r1-0528,10,0.7404841,1
deepseek-r1-0528,11,0.6402066,4
deepseek-r1-0528,12,0.60159105,8
deepseek-r1-0528,13,0.591542,2
deepseek-r1-0528,14,0.6628227,3
deepseek-r1-0528,15,0.6201486,1
deepseek-r1-0528,16,0.7007818,1
deepseek-r1-0528,17,0.65663767,2
deepseek-r1-0528,18,0.71125937,4
deepseek-r1-0528,19,0.7108178,3
deepseek-r1-0528,20,0.8410158,1
deepseek-r1-0528,21,0.72216153,1
deepseek-r1-0528,22,0.48512116,6
deepseek-r1-0528,23,0.68952966,1
deepseek-r1-0528,24,0.83620715,1
deepseek-r1-0528,25,0.60833967,1
deepseek-r1-0528,26,0.63332665,7
deepseek-r1-0528,27,0.70380723,2
deepseek-r1-0528,28,0.64901274,1
deepseek-r1-0528,29,0.68858385,3
deepseek-r1-0528,30,0.48571292,6
deepseek-r1-0528,31,0.35005748,11
deepseek-r1-0528,32,0.8896687,1
deepseek-r1-0528,33,0.61009717,1
deepseek-r1-0528,34,0.8163346,1
deepseek-r1-0528,35,0.79897016,1
deepseek-r1-0528,36,0.8471493,1
deepseek-r1-0528,37,0.82902366,1
deepseek-r1-0528,38,0.71279925,2
deepseek-r1-0528,39,0.6286036,4
deepseek-r1-0528,40,0.5306935,3
deepseek-r1-0528,41,0.6595669,1
deepseek-r1-0528,42,0.71842945,2
deepseek-r1-0528,43,0.6829356,4
deepseek-r1-0528,44,0.68014276,1
deepseek-r1-0528,45,0.74978745,1
deepseek-r1-0528,46,0.778021,1
deepseek-r1-0528,47,0.71575475,3
deepseek-r1-0528,48,0.54730636,11
deepseek-r1-0528,49,0.73455614,2
deepseek-r1-0528,50,0.75899446,2
deepseek-r1-0528,51,0.62842524,1
deepseek-r1-0528,52,0.720916,1
deepseek-r1-0528,53,0.7098736,1
deepseek-r1-0528,54,0.6518259,1
deepseek-r1-0528,55,0.59630734,4
deepseek-r1-0528,56,0.8561342,1
deepseek-r1-0528,57,0.6926713,1
deepseek-r1-0528,58,0.6855707,1
deepseek-r1-0528,59,0.5958171,2
deepseek-r1-0528,60,0.592093,4
deepseek-r1-0528,61,0.55948377,3
deepseek-r1-0528,62,0.4248625,11
deepseek-r1-0528,63,0.54327047,10
deepseek-r1-0528,64,0.70466936,1
deepseek-r1-0528,65,0.83024716,1
deepseek-r1-0528,66,0.82266015,1
deepseek-r1-0528,67,0.7500046,1
deepseek-r1-0528,68,0.82296926,1
deepseek-r1-0528,69,0.78408676,1
deepseek-r1-0528,70,0.60281944,1
deepseek-r1-0528,71,0.294725,11
deepseek-r1-0528,72,0.60745823,1
deepseek-r1-0528,73,0.8330958,1
deepseek-r1-0528,74,0.5841261,1
deepseek-r1-0528,75,0.76665276,1
deepseek-r1-0528,76,0.48202428,3
deepseek-r1-0528,77,0.43484938,11
deepseek-r1-0528,78,0.7127552,1
deepseek-r1-0528,79,0.5451986,1
deepseek-r1-0528,80,0.64406013,1
deepseek-r1-0528,81,0.73621786,1
deepseek-r1-0528,82,0.8064088,1
deepseek-r1-0528,83,0.764229,1
deepseek-r1-0528,84,0.48606482,10
deepseek-r1-0528,85,0.7934694,1
deepseek-r1-0528,86,0.5092407,5
deepseek-r1-0528,87,0.6530764,1
deepseek-r1-0528,88,0.52828705,8
deepseek-r1-0528,89,0.66396916,2
deepseek-r1-0528,90,0.69091517,1
deepseek-r1-0528,91,0.7116864,1
deepseek-r1-0528,92,0.6400219,5
deepseek-r1-0528,93,0.6362238,7
deepseek-r1-0528,94,0.39412564,11
deepseek-r1-0528,95,0.37899768,11
deepseek-r1-0528,96,0.50919163,5
deepseek-r1-0528,97,0.36872548,11
deepseek-r1-0528,98,0.26247793,11
deepseek-r1-0528,99,0.67118305,1
deepseek-r1-0528,100,0.6396986,2
gemini-2.5-pro,1,0.5774816,3
gemini-2.5-pro,2,0.8111724,1
gemini-2.5-pro,3,0.74050796,1
gemini-2.5-pro,4,0.7712321,1
gemini-2.5-pro,5,0.8324246,1
gemini-2.5-pro,6,0.7525061,1
gemini-2.5-pro,7,0.7915727,1
gemini-2.5-pro,8,0.41170448,11
gemini-2.5-pro,9,0.6281456,3
gemini-2.5-pro,10,0.76198304,1
gemini-2.5-pro,11,0.49408185,7
gemini-2.5-pro,12,0.57125235,8
gemini-2.5-pro,13,0.61408347,2
gemini-2.5-pro,14,0.5851765,1
gemini-2.5-pro,15,0.6875825,1
gemini-2.5-pro,16,0.69445574,1
gemini-2.5-pro,17,0.6715164,1
gemini-2.5-pro,18,0.6465858,8
gemini-2.5-pro,19,0.73413694,2
gemini-2.5-pro,20,0.76972294,1
gemini-2.5-pro,21,0.6657108,1
gemini-2.5-pro,22,0.40778953,5
gemini-2.5-pro,23,0.64639056,1
gemini-2.5-pro,24,0.8053334,1
gemini-2.5-pro,25,0.5719974,2
gemini-2.5-pro,26,0.4810739,11
gemini-2.5-pro,27,0.55603653,11
gemini-2.5-pro,28,0.413759,11
gemini-2.5-pro,29,0.61552763,4
gemini-2.5-pro,30,0.28469035,11
gemini-2.5-pro,31,0.26204282,11
gemini-2.5-pro,32,0.7321644,2
gemini-2.5-pro,33,0.7328039,1
gemini-2.5-pro,34,0.7742208,1
gemini-2.5-pro,35,0.83197045,1
gemini-2.5-pro,36,0.7269876,1
gemini-2.5-pro,37,0.7235566,1
gemini-2.5-pro,38,0.74003637,1
gemini-2.5-pro,39,0.5934907,6
gemini-2.5-pro,40,0.5294628,6
gemini-2.5-pro,41,0.67838305,1
gemini-2.5-pro,42,0.6509199,1
gemini-2.5-pro,43,0.68238103,3
gemini-2.5-pro,44,0.5323422,8
gemini-2.5-pro,45,0.7084687,1
gemini-2.5-pro,46,0.74271417,1
gemini-2.5-pro,47,0.619993,5
gemini-2.5-pro,48,0.5631465,8
gemini-2.5-pro,49,0.5586839,7
gemini-2.5-pro,50,0.62788373,4
gemini-2.5-pro,51,0.6813896,1
gemini-2.5-pro,52,0.7331031,1
gemini-2.5-pro,53,0.6298505,1
gemini-2.5-pro,54,0.6145888,1
gemini-2.5-pro,55,0.5167488,7
gemini-2.5-pro,56,0.52097726,1
gemini-2.5-pro,57,0.61149913,1
gemini-2.5-pro,58,0.65130347,2
gemini-2.5-pro,59,0.6576555,1
gemini-2.5-pro,60,0.5746263,7
gemini-2.5-pro,61,0.6893769,1
gemini-2.5-pro,62,0.41500503,11
gemini-2.5-pro,63,0.5873911,1
gemini-2.5-pro,64,0.6411552,1
gemini-2.5-pro,65,0.69670445,1
gemini-2.5-pro,66,0.6554935,1
gemini-2.5-pro,67,0.67599195,1
gemini-2.5-pro,68,0.74026704,1
gemini-2.5-pro,69,0.66245717,1
gemini-2.5-pro,70,0.6319286,2
gemini-2.5-pro,71,0.28614128,11
gemini-2.5-pro,72,0.44392276,9
gemini-2.5-pro,73,0.7927569,1
gemini-2.5-pro,74,0.6006874,2
gemini-2.5-pro,75,0.70804805,1
gemini-2.5-pro,76,0.5567434,3
gemini-2.5-pro,77,0.46148616,11
gemini-2.5-pro,78,0.68381596,1
gemini-2.5-pro,79,0.5299838,1
gemini-2.5-pro,80,0.71100765,1
gemini-2.5-pro,81,0.75964975,1
gemini-2.5-pro,82,0.65567464,3
gemini-2.5-pro,83,0.65709263,2
gemini-2.5-pro,84,0.58012116,4
gemini-2.5-pro,85,0.68797755,2
gemini-2.5-pro,86,0.5136682,11
gemini-2.5-pro,87,0.67946804,1
gemini-2.5-pro,88,0.4752387,11
gemini-2.5-pro,89,0.60397136,2
gemini-2.5-pro,90,0.814572,1
gemini-2.5-pro,91,0.75215894,1
gemini-2.5-pro,92,0.6361648,2
gemini-2.5-pro,93,0.69003856,6
gemini-2.5-pro,94,0.37651914,11
gemini-2.5-pro,95,0.2955354,11
gemini-2.5-pro,96,0.4300884,11
gemini-2.5-pro,97,0.48773032,10
gemini-2.5-pro,98,0.3089542,11
gemini-2.5-pro,99,0.69356567,1
gemini-2.5-pro,100,0.6386182,1
grok-3-mini,1,0.64743245,4
grok-3-mini,2,0.7966681,1
grok-3-mini,3,0.71350205,1
grok-3-mini,4,0.80071187,1
grok-3-mini,5,0.794369,1
grok-3-mini,6,0.90580976,1
grok-3-mini,7,0.75999343,1
grok-3-mini,8,0.37377304,11
grok-3-mini,9,0.5483453,1
grok-3-mini,10,0.77727026,1
grok-3-mini,11,0.65436274,4
grok-3-mini,12,0.45750672,10
grok-3-mini,13,0.6310448,3
grok-3-mini,14,0.62584084,1
grok-3-mini,15,0.5286037,10
grok-3-mini,16,0.84751153,1
grok-3-mini,17,0.6658397,1
grok-3-mini,18,0.683394,6
grok-3-mini,19,0.6072967,6
grok-3-mini,20,0.85357416,1
grok-3-mini,21,0.8150617,1
grok-3-mini,22,0.4777947,7
grok-3-mini,23,0.59171176,8
grok-3-mini,24,0.7987592,1
grok-3-mini,25,0.73138416,1
grok-3-mini,26,0.5824983,7
grok-3-mini,27,0.57084477,6
grok-3-mini,28,0.8153324,1
grok-3-mini,29,0.58478403,5
grok-3-mini,30,0.34909663,11
grok-3-mini,31,0.3347702,11
grok-3-mini,32,0.8213444,1
grok-3-mini,33,0.645365,2
grok-3-mini,34,0.7601945,2
grok-3-mini,35,0.8375779,1
grok-3-mini,36,0.72234976,2
grok-3-mini,37,0.7827003,1
grok-3-mini,38,0.77362293,2
grok-3-mini,39,0.6239798,5
grok-3-mini,40,0.4149049,8
grok-3-mini,41,0.6222913,4
grok-3-mini,42,0.5323578,11
grok-3-mini,43,0.6935046,4
grok-3-mini,44,0.5583372,5
grok-3-mini,45,0.6832093,1
grok-3-mini,46,0.7123241,1
grok-3-mini,47,0.6826407,5
grok-3-mini,48,0.5699294,10
grok-3-mini,49,0.5599787,11
grok-3-mini,50,0.72938263,2
grok-3-mini,51,0.77347624,1
grok-3-mini,52,0.7402475,1
grok-3-mini,53,0.7105357,1
grok-3-mini,54,0.78408873,1
grok-3-mini,55,0.4600957,11
grok-3-mini,56,0.8241241,1
grok-3-mini,57,0.67739356,1
grok-3-mini,58,0.6160904,1
grok-3-mini,59,0.60905606,2
grok-3-mini,60,0.60122323,5
grok-3-mini,61,0.6767417,1
grok-3-mini,62,0.5159722,9
grok-3-mini,63,0.7363366,1
grok-3-mini,64,0.596341,1
grok-3-mini,65,0.75668895,1
grok-3-mini,66,0.78231704,1
grok-3-mini,67,0.7679523,1
grok-3-mini,68,0.7411691,1
grok-3-mini,69,0.76005274,1
grok-3-mini,70,0.6431637,2
grok-3-mini,71,0.44225156,11
grok-3-mini,72,0.6505882,1
grok-3-mini,73,0.79083246,1
grok-3-mini,74,0.40281814,11
grok-3-mini,75,0.7630983,1
grok-3-mini,76,0.4312716,7
grok-3-mini,77,0.45024237,11
grok-3-mini,78,0.8405624,1
grok-3-mini,79,0.40275562,11
grok-3-mini,80,0.81322134,1
grok-3-mini,81,0.70097524,1
grok-3-mini,82,0.8667689,1
grok-3-mini,83,0.66343206,1
grok-3-mini,84,0.49878457,11
grok-3-mini,85,0.7491523,2
grok-3-mini,86,0.4724847,5
grok-3-mini,87,0.43170494,9
grok-3-mini,88,0.6304036,1
grok-3-mini,89,0.6145727,4
grok-3-mini,90,0.59876347,4
grok-3-mini,91,0.69233954,1
grok-3-mini,92,0.51356196,11
grok-3-mini,93,0.65269923,7
grok-3-mini,94,0.3857488,11
grok-3-mini,95,0.25717443,11
grok-3-mini,96,0.4983457,6
grok-3-mini,97,0.48737594,11
grok-3-mini,98,0.53336906,11
grok-3-mini,99,0.5306264,1
grok-3-mini,100,0.47619087,11
o4-mini-high,1,0.5923352,7
o4-mini-high,2,0.75134873,1
o4-mini-high,3,0.6570511,4
o4-mini-high,4,0.57962203,1
o4-mini-high,5,0.73630595,1
o4-mini-high,6,0.5833821,1
o4-mini-high,7,0.7783776,1
o4-mini-high,8,0.4492687,11
o4-mini-high,9,0.643499,2
o4-mini-high,10,0.7660017,1
o4-mini-high,11,0.6516429,3
o4-mini-high,12,0.5769979,10
o4-mini-high,13,0.617519,3
o4-mini-high,14,0.6309116,1
o4-mini-high,15,0.6478286,3
o4-mini-high,16,0.72425747,1
o4-mini-high,17,0.7565857,1
o4-mini-high,18,0.50752985,11
o4-mini-high,19,0.5383365,11
o4-mini-high,20,0.7476288,1
o4-mini-high,21,0.71824884,1
o4-mini-high,22,0.5345628,6
o4-mini-high,23,0.53089213,11
o4-mini-high,24,0.7645645,2
o4-mini-high,25,0.70917284,2
o4-mini-high,26,0.62389165,11
o4-mini-high,27,0.5284333,8
o4-mini-high,28,0.51456386,10
o4-mini-high,29,0.8067645,1
o4-mini-high,30,0.3841388,11
o4-mini-high,31,0.41930386,11
o4-mini-high,32,0.82627857,1
o4-mini-high,33,0.7141675,1
o4-mini-high,34,0.6102356,7
o4-mini-high,35,0.7289008,4
o4-mini-high,36,0.73344254,2
o4-mini-high,37,0.67395365,2
o4-mini-high,38,0.7087655,4
o4-mini-high,39,0.62450063,5
o4-mini-high,40,0.5581513,6
o4-mini-high,41,0.60752773,9
o4-mini-high,42,0.5765384,11
o4-mini-high,43,0.65038943,5
o4-mini-high,44,0.64956576,1
o4-mini-high,45,0.6861765,1
o4-mini-high,46,0.9232293,1
o4-mini-high,47,0.64119035,5
o4-mini-high,48,0.61369723,8
o4-mini-high,49,0.65607965,3
o4-mini-high,50,0.8007165,1
o4-mini-high,51,0.6849726,1
o4-mini-high,52,0.7137803,1
o4-mini-high,53,0.65420103,2
o4-mini-high,54,0.52938366,2
o4-mini-high,55,0.5185977,11
o4-mini-high,56,0.6894186,1
o4-mini-high,57,0.5463313,4
o4-mini-high,58,0.86502075,1
o4-mini-high,59,0.61758864,2
o4-mini-high,60,0.62933576,1
o4-mini-high,61,0.5185447,3
o4-mini-high,62,0.42279077,11
o4-mini-high,63,0.72205794,1
o4-mini-high,64,0.69393826,1
o4-mini-high,65,0.7300888,1
o4-mini-high,66,0.7741697,1
o4-mini-high,67,0.7371696,1
o4-mini-high,68,0.6957592,1
o4-mini-high,69,0.8467526,1
o4-mini-high,70,0.59506494,3
o4-mini-high,71,0.5349915,6
o4-mini-high,72,0.74712896,1
o4-mini-high,73,0.48180538,9
o4-mini-high,74,0.42280006,1
o4-mini-high,75,0.77085614,1
o4-mini-high,76,0.55712175,3
o4-mini-high,77,0.4598357,8
o4-mini-high,78,0.79797584,1
o4-mini-high,79,0.56784487,6
o4-mini-high,80,0.5902833,2
o4-mini-high,81,0.5681004,5
o4-mini-high,82,0.67612016,3
o4-mini-high,83,0.73535204,1
o4-mini-high,84,0.4810506,11
o4-mini-high,85,0.73321635,1
o4-mini-high,86,0.5124393,11
o4-mini-high,87,0.4703352,6
o4-mini-high,88,0.64737654,1
o4-mini-high,89,0.4236954,11
o4-mini-high,90,0.514047,11
o4-mini-high,91,0.71729976,1
o4-mini-high,92,0.6607771,3
o4-mini-high,93,0.6784748,3
o4-mini-high,94,0.5109583,11
o4-mini-high,95,0.34365577,11
o4-mini-high,96,0.4627763,11
o4-mini-high,97,0.52931637,10
o4-mini-high,98,0.54009074,6
o4-mini-high,99,0.68665177,1
o4-mini-high,100,0.54771096,3
Dilaksan/nla,1,0.73712623,3
Dilaksan/nla,2,0.62159234,3
Dilaksan/nla,3,0.8909189,1
Dilaksan/nla,4,0.6120378,1
Dilaksan/nla,5,0.66213274,1
Dilaksan/nla,6,0.6155844,1
Dilaksan/nla,7,0.7326445,1
Dilaksan/nla,8,0.8722459,1
Dilaksan/nla,9,0.51535666,2
Dilaksan/nla,10,0.8411747,1
Dilaksan/nla,11,0.6250483,5
Dilaksan/nla,12,0.7016673,4
Dilaksan/nla,13,0.5464493,3
Dilaksan/nla,14,0.6295175,2
Dilaksan/nla,15,0.6394433,2
Dilaksan/nla,16,0.7490401,1
Dilaksan/nla,17,0.58450687,4
Dilaksan/nla,18,0.59660023,8
Dilaksan/nla,19,0.616686,2
Dilaksan/nla,20,0.68313086,1
Dilaksan/nla,21,0.62402594,1
Dilaksan/nla,22,0.51074743,11
Dilaksan/nla,23,0.5890858,9
Dilaksan/nla,24,0.7520906,2
Dilaksan/nla,25,0.59555805,4
Dilaksan/nla,26,0.5790269,5
Dilaksan/nla,27,0.77383226,1
Dilaksan/nla,28,0.6011254,6
Dilaksan/nla,29,0.57106924,7
Dilaksan/nla,30,0.84782124,1
Dilaksan/nla,31,0.96725905,1
Dilaksan/nla,32,0.92525,1
Dilaksan/nla,33,0.7142499,1
Dilaksan/nla,34,0.6432659,1
Dilaksan/nla,35,0.9379809,1
Dilaksan/nla,36,0.6516319,3
Dilaksan/nla,37,0.9309654,1
Dilaksan/nla,38,0.7804655,2
Dilaksan/nla,39,0.5235612,9
Dilaksan/nla,40,0.40864122,11
Dilaksan/nla,41,0.83554935,1
Dilaksan/nla,42,0.87623066,1
Dilaksan/nla,43,0.8096118,1
Dilaksan/nla,44,0.8269562,1
Dilaksan/nla,45,0.7370238,1
Dilaksan/nla,46,0.8542392,1
Dilaksan/nla,47,0.56358457,10
Dilaksan/nla,48,0.5376148,11
Dilaksan/nla,49,0.57860804,11
Dilaksan/nla,50,0.7813839,1
Dilaksan/nla,51,0.5656771,4
Dilaksan/nla,52,0.6208753,1
Dilaksan/nla,53,0.66692615,2
Dilaksan/nla,54,0.883698,1
Dilaksan/nla,55,0.742976,1
Dilaksan/nla,56,0.94955134,1
Dilaksan/nla,57,0.46556044,1
Dilaksan/nla,58,0.8505787,1
Dilaksan/nla,59,0.6994379,2
Dilaksan/nla,60,0.84996325,1
Dilaksan/nla,61,0.9242711,1
Dilaksan/nla,62,0.3929549,11
Dilaksan/nla,63,0.729376,1
Dilaksan/nla,64,0.71613395,1
Dilaksan/nla,65,0.7203149,1
Dilaksan/nla,66,0.6256573,1
Dilaksan/nla,67,0.6695525,1
Dilaksan/nla,68,0.69577086,1
Dilaksan/nla,69,0.5954884,1
Dilaksan/nla,70,0.88216317,1
Dilaksan/nla,71,0.92483264,1
Dilaksan/nla,72,0.59873116,1
Dilaksan/nla,73,0.49081767,4
Dilaksan/nla,74,0.92821455,1
Dilaksan/nla,75,0.5463009,3
Dilaksan/nla,76,0.5361979,11
Dilaksan/nla,77,0.5817121,3
Dilaksan/nla,78,0.6638359,1
Dilaksan/nla,79,0.5942483,2
Dilaksan/nla,80,0.5816479,5
Dilaksan/nla,81,0.6968704,1
Dilaksan/nla,82,0.7069941,3
Dilaksan/nla,83,0.7622407,2
Dilaksan/nla,84,0.56000495,6
Dilaksan/nla,85,0.9905302,1
Dilaksan/nla,86,0.48974848,9
Dilaksan/nla,87,0.43989158,11
Dilaksan/nla,88,0.6705966,3
Dilaksan/nla,89,0.44389376,11
Dilaksan/nla,90,0.94111514,1
Dilaksan/nla,91,0.6259105,5
Dilaksan/nla,92,0.59828925,6
Dilaksan/nla,93,0.51671755,11
Dilaksan/nla,94,0.4099025,11
Dilaksan/nla,95,0.4863469,11
Dilaksan/nla,96,0.49737245,7
Dilaksan/nla,97,0.390414,11
Dilaksan/nla,98,0.35665214,11
Dilaksan/nla,99,0.6283953,2
Dilaksan/nla,100,0.67055416,1
